Date,Close,HMM_Regime,HMM_Prob_0,HMM_Prob_1,HMM_Prob_2
2005-04-20,1137.5,1,1.884460479079396e-12,0.9999412707913943,5.87292075229479e-05
2005-04-21,1159.949951171875,1,9.724674771661094e-15,0.9998572081625009,0.00014279183609045655
2005-04-22,1152.1199951171875,1,4.569523325873134e-11,0.9999733110340444,2.6688921814640278e-05
2005-04-25,1162.0999755859375,1,1.0306176631734517e-11,0.9999775179184097,2.2482072338148644e-05
2005-04-26,1151.8299560546875,1,1.701634907594145e-11,0.9999737733143321,2.6226669801583852e-05
2005-04-27,1156.3800048828125,1,2.981628393749764e-11,0.999982588879592,1.741109226404244e-05
2005-04-28,1143.219970703125,1,9.191358757792178e-13,0.999955365528218,4.463447192821529e-05
2005-04-29,1156.8499755859375,1,1.386186225220171e-13,0.9999484842910803,5.1515706982215674e-05
2005-05-02,1162.1600341796875,1,1.0233435763681732e-10,0.9999849773522056,1.5022546601111766e-05
2005-05-03,1161.1700439453125,1,4.953498025197992e-10,0.9999891824484917,1.081705704025084e-05
2005-05-04,1175.6500244140625,1,2.364566611328837e-10,0.9999826142067598,1.7385556006480532e-05
2005-05-05,1172.6300048828125,1,1.2954496924076525e-08,0.99999149120031,8.495843737901988e-06
2005-05-06,1171.3499755859375,1,2.2886227293494562e-09,0.9999884671316267,1.1530578806476753e-05
2005-05-09,1178.8399658203125,1,1.356825365573218e-08,0.9999907569353748,9.22949595620894e-06
2005-05-10,1166.219970703125,1,2.2953322887699306e-09,0.9999815983157184,1.8399389176336232e-05
2005-05-11,1171.1099853515625,1,6.1906703947299e-10,0.999987686558011,1.2312821594453532e-05
2005-05-12,1159.3599853515625,1,6.379509309572713e-10,0.9999818265546967,1.817280772476461e-05
2005-05-13,1154.050048828125,1,3.4622417028176086e-10,0.9999872336389671,1.2766015571392238e-05
2005-05-16,1165.68994140625,1,2.831305505809474e-09,0.9999871355021085,1.2861666363367757e-05
2005-05-17,1173.800048828125,1,1.7610833714742638e-07,0.9999914233089294,8.400584447638042e-06
2005-05-18,1185.56005859375,1,1.0400521862940455e-05,0.9999813407952466,8.258683717429859e-06
2005-05-19,1191.0799560546875,1,0.004181005237313026,0.9958086508882424,1.0343875429251645e-05
2005-05-20,1189.280029296875,1,0.033277545109029166,0.9667137049980628,8.74989319802362e-06
2005-05-23,1193.8599853515625,1,0.1562256377795917,0.8437673543865123,7.007832346250838e-06
2005-05-24,1194.0699462890625,1,0.35887319098370396,0.641122417477391,4.391539107640577e-06
2005-05-25,1190.010009765625,0,0.5775820846856364,0.422414990261233,2.925053860991081e-06
2005-05-26,1197.6199951171875,0,0.7532892736692922,0.24670999288511292,7.334450099056198e-07
2005-05-27,1198.780029296875,0,0.9417170416288432,0.05828252501390013,4.3335616001462297e-07
2005-05-30,1198.780029296875,0,0.9860202035273641,0.013979680286961999,1.1618388862678758e-07
2005-05-31,1191.5,0,0.9947546157126375,0.005245364363980253,1.992226754745834e-08
2005-06-01,1202.219970703125,0,0.9979067673062215,0.0020932301995064363,2.496001461778399e-09
2005-06-02,1204.2900390625,0,0.9996819754359306,0.0003180235226552365,1.0398822400893524e-09
2005-06-03,1196.02001953125,0,0.9993599036787899,0.0006400958346086588,4.858020673657142e-10
2005-06-06,1197.510009765625,0,0.9993944001335354,0.0006055994733676711,3.9419200376610905e-10
2005-06-07,1197.260009765625,0,0.9995931208987726,0.0004068789264566721,1.751365569281323e-10
2005-06-08,1194.6700439453125,0,0.99976142909047,0.00023857082280570962,8.54292616346604e-11
2005-06-09,1200.9300537109375,0,0.9998238030324306,0.00017619694627040298,2.22104513437434e-11
2005-06-10,1198.1099853515625,0,0.9999271742816003,7.282571185155907e-05,6.866078890063193e-12
2005-06-13,1200.8199462890625,0,0.9999576076406818,4.2392357262899586e-05,1.539615771593214e-12
2005-06-14,1203.9100341796875,0,0.9999695474706004,3.045252963386315e-05,5.836471508505107e-13
2005-06-15,1206.5799560546875,0,0.9999773147891746,2.26852117282837e-05,3.4125477188104574e-13
2005-06-16,1210.9599609375,0,0.999981604896701,1.8395104413907803e-05,3.9631240715574584e-13
2005-06-17,1216.9599609375,0,0.9999742767320388,2.5723267855812764e-05,1.7459939349873282e-12
2005-06-20,1216.0999755859375,0,0.9999869230105226,1.3076987419367511e-05,3.3987588216600434e-13
2005-06-21,1213.6099853515625,0,0.9999823424181254,1.7657581473060518e-05,3.4245699898410974e-13
2005-06-22,1213.8800048828125,0,0.9999692312235077,3.0768763630789096e-05,1.4565945680443786e-11
2005-06-23,1200.72998046875,0,0.9989213460667976,0.0010786533465235266,5.864249394004405e-10
2005-06-24,1191.5699462890625,0,0.9957551913918848,0.004244787405602296,2.1203774670491025e-08
2005-06-27,1190.68994140625,0,0.9941310156731429,0.0058689683560567505,1.5972601925508007e-08
2005-06-28,1201.5699462890625,0,0.9938612590631242,0.006138717679863588,2.3257558459901135e-08
2005-06-29,1199.8499755859375,0,0.9960391336152189,0.003960836932488337,2.9453133745047985e-08
2005-06-30,1191.3299560546875,0,0.9915489712484739,0.008450991359713412,3.7393379222209916e-08
2005-07-01,1194.43994140625,0,0.9900797158281993,0.009920256895630461,2.7276083002378653e-08
