Date,Close,KMeans_Regime,GMM_Regime,GMM_Prob_0,GMM_Prob_1,GMM_Prob_2
2005-03-11,1200.0799560546875,0,0,0.9314392644617037,0.06852692076826668,3.3814770029592985e-05
2005-03-14,1206.8299560546875,0,0,0.9657343905448056,0.03425224649034858,1.3362964845741673e-05
2005-03-15,1197.75,0,0,0.9134125148205104,0.08655095312899737,3.653205049199045e-05
2005-03-16,1188.0699462890625,0,0,0.79060255336396,0.20932197238741304,7.547424862705764e-05
2005-03-17,1190.2099609375,0,0,0.9019075675225073,0.09806127553514601,3.115694234649964e-05
2005-03-18,1189.6500244140625,0,1,0.42776146407511234,0.5720924352417279,0.00014610068315952139
2005-03-21,1183.780029296875,0,0,0.8202023556531561,0.17974307475394383,5.456959289997576e-05
2005-03-22,1171.7099609375,0,1,0.19117679939619123,0.8085433139641287,0.0002798866396802466
2005-03-23,1172.530029296875,0,1,0.46997286078610656,0.5298792965219593,0.0001478426919343476
2005-03-24,1171.4200439453125,0,0,0.7833772915126352,0.21655161879429002,7.108969307454963e-05
2005-03-25,1171.4200439453125,0,0,0.7561999030507661,0.2437223120829729,7.778486626073345e-05
2005-03-28,1174.280029296875,0,0,0.746121293089311,0.253800873742372,7.783316831698628e-05
2005-03-29,1165.3599853515625,0,1,0.19379354451707223,0.8059538089134343,0.0002526465694934074
2005-03-30,1181.4100341796875,0,1,0.07579443775749473,0.9237473010220894,0.00045826122041624424
2005-03-31,1180.5899658203125,0,0,0.6258899213458398,0.37400970374532017,0.00010037490884027888
2005-04-01,1172.9200439453125,0,1,0.4200778699941586,0.5797443335091034,0.00017779649673825638
2005-04-04,1176.1199951171875,0,0,0.5179253575946692,0.4819308484579098,0.00014379394742079337
2005-04-05,1181.3900146484375,0,0,0.7146191347273979,0.2852907859000069,9.007937259537872e-05
2005-04-06,1184.0699462890625,0,0,0.8570831951145695,0.1428717936196626,4.501126576800011e-05
2005-04-07,1191.1400146484375,0,0,0.8977331444856429,0.10223403037638902,3.2825137968267485e-05
2005-04-08,1181.199951171875,0,0,0.7386841148021355,0.2611942239010144,0.00012166129685011875
2005-04-11,1181.2099609375,0,0,0.8949286923143351,0.10502699907043235,4.4308615232746174e-05
2005-04-12,1187.760009765625,0,0,0.8655696859334742,0.134388324170746,4.198989578000456e-05
2005-04-13,1173.7900390625,0,1,0.40753236119942476,0.5922068168754879,0.00026082192508760456
2005-04-14,1162.050048828125,1,1,0.2163335935690388,0.7833756928328521,0.00029071359810931236
2005-04-15,1142.6199951171875,1,1,0.0008226560457879632,0.9984967574430441,0.0006805865111677226
2005-04-18,1145.97998046875,1,1,0.04078347642074634,0.9587922931041762,0.00042423047507746423
2005-04-19,1152.780029296875,0,1,0.08719506414435724,0.9124016828264616,0.0004032530291814409
2005-04-20,1137.5,1,1,0.006728308291151332,0.9926082279516527,0.0006634637571957416
2005-04-21,1159.949951171875,0,1,0.00034564700399017297,0.9984622768830811,0.0011920761129286409
2005-04-22,1152.1199951171875,1,1,0.09662590420777196,0.9028963099068633,0.0004777858853649748
2005-04-25,1162.0999755859375,0,1,0.07055186719685697,0.9288649179963484,0.0005832148067949292
2005-04-26,1151.8299560546875,1,1,0.046433737199303424,0.9529518458156678,0.0006144169850284254
2005-04-27,1156.3800048828125,0,1,0.1488178271244887,0.8507877618175455,0.0003944110579658434
2005-04-28,1143.219970703125,1,1,0.010385088037240166,0.988976667924164,0.0006382440385956084
2005-04-29,1156.8499755859375,0,1,0.007455241435656517,0.9918953795194492,0.0006493790448944064
2005-05-02,1162.1600341796875,0,1,0.20241578023508808,0.7971850910939466,0.00039912867096550105
2005-05-03,1161.1700439453125,0,1,0.3115842313250995,0.6881252111581881,0.0002905575167123362
2005-05-04,1175.6500244140625,0,1,0.08530601591943433,0.9141720851903299,0.0005218988902355499
2005-05-05,1172.6300048828125,0,0,0.5313877663814719,0.46838876435652316,0.00022346926200497852
2005-05-06,1171.3499755859375,0,1,0.34628523626172425,0.653327196293941,0.000387567444334952
2005-05-09,1178.8399658203125,0,1,0.48898731455751704,0.5107301489586649,0.0002825364838176143
2005-05-10,1166.219970703125,0,1,0.12101739038574022,0.878293304916566,0.0006893046976933949
2005-05-11,1171.1099853515625,0,1,0.29067916212117917,0.7089305985049195,0.0003902393739014537
2005-05-12,1159.3599853515625,1,1,0.10893925786188129,0.890444898772747,0.0006158433653719799
2005-05-13,1154.050048828125,1,1,0.23063656592201695,0.7689912811947184,0.0003721528832648267
2005-05-16,1165.68994140625,0,1,0.2370139452265138,0.762450751034041,0.0005353037394451623
2005-05-17,1173.800048828125,0,0,0.6361248832257754,0.3636522570617267,0.00022285971249772678
2005-05-18,1185.56005859375,0,0,0.7428809879553829,0.25699153872932456,0.00012747331529229424
2005-05-19,1191.0799560546875,0,0,0.9119223946043651,0.08800586385149108,7.174154414390634e-05
2005-05-20,1189.280029296875,0,0,0.9302539329579935,0.06969183333626508,5.4233705741316557e-05
2005-05-23,1193.8599853515625,0,0,0.9518468443807447,0.04811738930954747,3.576630970769597e-05
2005-05-24,1194.0699462890625,0,0,0.962181781861665,0.03779208881739645,2.6129320938632885e-05
2005-05-25,1190.010009765625,0,0,0.9574297599111367,0.042539505950670124,3.073413819328269e-05
2005-05-26,1197.6199951171875,0,0,0.9530671837138828,0.04689826853697046,3.4547749146697536e-05
2005-05-27,1198.780029296875,0,0,0.9350909352723332,0.06482040296124246,8.866176642443666e-05
2005-05-30,1198.780029296875,0,0,0.9572317304167726,0.04272250762574849,4.576195747903366e-05
2005-05-31,1191.5,0,0,0.9652246211668565,0.03475680466708627,1.8574166057429718e-05
2005-06-01,1202.219970703125,0,0,0.9616676897010813,0.03831125774762676,2.1052551291966953e-05
2005-06-02,1204.2900390625,0,0,0.9860999828753699,0.013893954640434298,6.06248419572594e-06
2005-06-03,1196.02001953125,0,0,0.9543672141672164,0.04560245234736867,3.033348541486319e-05
2005-06-06,1197.510009765625,0,0,0.9782342174891182,0.021753213507671065,1.2569003210718735e-05
2005-06-07,1197.260009765625,0,0,0.9818367468782974,0.01815652680015072,6.726321552037943e-06
2005-06-08,1194.6700439453125,0,0,0.9815598257018963,0.01843138672782614,8.787570277634113e-06
2005-06-09,1200.9300537109375,0,0,0.9810682053257086,0.018924068906025337,7.725768266100886e-06
2005-06-10,1198.1099853515625,0,0,0.9833715623358713,0.01661920198563108,9.23567849754208e-06
2005-06-13,1200.8199462890625,0,0,0.9870219372331844,0.012971120510244061,6.942256571597531e-06
2005-06-14,1203.9100341796875,0,0,0.9876271892044397,0.012367045451846994,5.765343713394454e-06
2005-06-15,1206.5799560546875,0,0,0.9859618850273522,0.014032800732517177,5.314240130597192e-06
2005-06-16,1210.9599609375,0,0,0.9844981288941981,0.015495972168414637,5.8989373871818035e-06
2005-06-17,1216.9599609375,0,0,0.8100054622523037,0.18994203896258993,5.2498785106519636e-05
2005-06-20,1216.0999755859375,0,0,0.9856939711114757,0.014299471115339527,6.557773184711033e-06
2005-06-21,1213.6099853515625,0,0,0.9839540696553587,0.016038989547749877,6.940796891522975e-06
2005-06-22,1213.8800048828125,0,0,0.9841098511659792,0.015884302976525072,5.845857495724136e-06
2005-06-23,1200.72998046875,0,0,0.8575791526538658,0.14236315236486005,5.769498127403639e-05
2005-06-24,1191.5699462890625,0,0,0.6965285628018967,0.3033934690655427,7.796813256093496e-05
2005-06-27,1190.68994140625,0,0,0.9724354379530744,0.027555332798916542,9.229248009048253e-06
2005-06-28,1201.5699462890625,0,0,0.9504497803285251,0.049530682680025646,1.953699144906356e-05
2005-06-29,1199.8499755859375,0,0,0.9811836820146734,0.018809328668813845,6.989316512745754e-06
2005-06-30,1191.3299560546875,0,0,0.892664176047746,0.10730394574545857,3.187820679573548e-05
2005-07-01,1194.43994140625,0,0,0.9739945186795843,0.025995763713137422,9.71760727833091e-06
2005-07-04,1194.43994140625,0,0,0.9782216730287578,0.021769662996788505,8.663974453711463e-06
2005-07-05,1204.989990234375,0,0,0.9577953100997323,0.042188440303900995,1.6249596366677395e-05
2005-07-06,1194.93994140625,0,0,0.9202718952249176,0.0796965593240083,3.154545107395071e-05
