Date,Close,HMM_Regime,HMM_Prob_0,HMM_Prob_1,HMM_Prob_2
2005-03-11,60.02000045776367,0,1.0,4.2358856544580675e-100,2.992243846511913e-119
2005-03-14,60.119998931884766,0,0.9998166251103082,0.00018337488815689242,4.8566611903789997e-32
2005-03-15,59.560001373291016,0,0.9857267663422203,0.014273067828337361,1.658295551483212e-07
2005-03-16,57.36000061035156,1,1.1347083533624283e-13,0.9999999984866008,1.511910092697308e-09
2005-03-17,58.65999984741211,1,2.6000257103113917e-08,0.9999971872060538,2.7867946987362023e-06
2005-03-18,58.369998931884766,1,0.0012801311240826035,0.9986892929234755,3.057595090263442e-05
2005-03-21,58.02000045776367,1,0.0014082793276933429,0.9985497556574955,4.1965013948077315e-05
2005-03-22,57.70000076293945,1,0.0007814328983992394,0.9991738094696072,4.475763073719237e-05
2005-03-23,57.20000076293945,1,0.0001920295547431586,0.9997582754402439,4.969500479686143e-05
2005-03-24,57.900001525878906,1,0.00014309604359723257,0.9998206202796198,3.628367635918984e-05
2005-03-25,57.900001525878906,1,0.00041519271132646756,0.9995479708865278,3.683640125572161e-05
2005-03-28,57.400001525878906,1,0.00019872123700857478,0.9997572508007578,4.402796127779407e-05
2005-03-29,57.27999877929688,1,6.312954249786404e-12,0.9999996362167374,3.6377766943119166e-07
2005-03-30,57.7599983215332,1,7.859297733146792e-06,0.9999719762015499,2.016450050269823e-05
2005-03-31,57.119998931884766,1,9.81577962646812e-05,0.9998419067358185,5.9935469472652365e-05
2005-04-01,56.29999923706055,1,1.9360343538257243e-05,0.9998956929864411,8.494667133326826e-05
2005-04-04,57.70000076293945,1,8.060915833438687e-08,0.9999283763175805,7.154307496916315e-05
2005-04-05,58.41999816894531,1,9.16519346982905e-06,0.9999432553797799,4.757942705381162e-05
2005-04-06,58.47999954223633,1,2.8001584777016353e-05,0.9999435974141101,2.840100270302761e-05
2005-04-07,58.04999923706055,1,1.5878434789071997e-05,0.9999597417509247,2.4379814259161614e-05
2005-04-08,57.650001525878906,1,1.1993192936758197e-05,0.9999563933028324,3.1613502631599973e-05
2005-04-11,58.29999923706055,1,5.579652360609363e-06,0.999942058757101,5.23615918723685e-05
2005-04-12,58.36000061035156,1,2.0692942510911803e-05,0.9999336247002754,4.568235600304695e-05
2005-04-13,57.709999084472656,1,2.847647652472896e-05,0.9999278005324275,4.372298956101842e-05
2005-04-14,57.220001220703125,1,0.0004417219872610722,0.9995274811561936,3.0796856386009085e-05
2005-04-15,56.93999862670898,1,0.000470601588799665,0.9994924584245215,3.693998741149095e-05
2005-04-18,56.47999954223633,1,0.0002669994590457847,0.9996917652409161,4.123530028120934e-05
2005-04-19,56.47999954223633,1,0.0005735303047288537,0.9993841414816204,4.2328215335141745e-05
2005-04-20,55.209999084472656,1,5.947355996651436e-06,0.9999089068934386,8.514575093351745e-05
2005-04-21,55.959999084472656,1,1.5872928429593674e-06,0.9999539890558231,4.44236527477769e-05
2005-04-22,54.86000061035156,1,4.114160934780411e-06,0.9998754639846005,0.00012042185478468167
2005-04-25,55.060001373291016,1,1.9062624459372315e-06,0.9999206044828048,7.748925494101157e-05
2005-04-26,55.02000045776367,1,8.61130581020433e-06,0.9999261737871047,6.521490833878628e-05
2005-04-27,54.869998931884766,1,7.6851937619214e-06,0.9999220430665405,7.027173963340618e-05
2005-04-28,55.79999923706055,1,4.3142987169534454e-07,0.9999415746539636,5.799391501145633e-05
2005-04-29,55.959999084472656,1,2.3146456693745766e-05,0.9999308277025163,4.602584092916366e-05
2005-05-02,56.59999847412109,1,1.3280935671700965e-05,0.9999528475730938,3.387149279818042e-05
2005-05-03,56.2599983215332,1,0.0004095326641662933,0.9995567606725292,3.37066623560679e-05
2005-05-04,56.65999984741211,1,0.00032971550705964634,0.9996397387666865,3.054572697617342e-05
2005-05-05,56.220001220703125,1,0.00039355610776468415,0.9995729769869106,3.346690686167896e-05
2005-05-06,55.91999816894531,1,0.00032582950037503874,0.9996410036625047,3.316683593791302e-05
2005-05-09,55.52000045776367,1,0.00012310839053417512,0.9998490338754162,2.785773316364008e-05
2005-05-10,55.2400016784668,1,0.0001651265482507435,0.9997991670177344,3.5706432445912636e-05
2005-05-11,55.34000015258789,1,7.000322859587853e-05,0.9999093108469901,2.0685926050864104e-05
2005-05-12,55.47999954223633,1,0.0001703669543948538,0.9998085816352327,2.1051411806143404e-05
2005-05-13,55.34000015258789,1,0.0004184070728326405,0.9995572452257304,2.4347702345212126e-05
2005-05-16,55.040000915527344,1,0.0017547322369628358,0.9982170281361008,2.823962796230045e-05
2005-05-17,55.09999847412109,1,0.01408442365605118,0.9858905734065707,2.5002938046474324e-05
2005-05-18,55.2400016784668,1,0.08380264957427667,0.9161834626046479,1.3887822044600043e-05
2005-05-19,55.86000061035156,0,0.4588199099884939,0.5411710712128495,9.018797510963616e-06
2005-05-20,56.04999923706055,0,0.7383475963048024,0.26164383774631533,8.56595018857056e-06
2005-05-23,55.619998931884766,0,0.8252138486625898,0.17477011003730203,1.6041301082154445e-05
2005-05-24,57.18000030517578,0,0.7927661741370065,0.20723249029936877,1.33556386297412e-06
2005-05-25,56.900001525878906,0,0.9619951849074482,0.038004408545979466,4.065476630021239e-07
2005-05-26,56.41999816894531,0,0.9908270337456058,0.009172869421698267,9.683385750684035e-08
2005-05-27,56.79999923706055,0,0.9972394194667149,0.002760564503493414,1.6028904230328088e-08
2005-05-30,56.79999923706055,0,0.9991385834458839,0.0008614105690437725,5.985830681038772e-09
2005-05-31,56.20000076293945,0,0.9991269908329419,0.0008730048708371442,4.295351555959865e-09
2005-06-01,56.18000030517578,0,0.9988242054112613,0.0011757914440306526,3.144877936040774e-09
2005-06-02,56.15999984741211,0,0.9988260498797398,0.0011739462164781019,3.90290767253713e-09
2005-06-03,55.81999969482422,0,0.998916248442299,0.001083745386647274,6.172647281006539e-09
2005-06-06,55.540000915527344,0,0.9985780860812437,0.0014219077282120764,6.191069826849187e-09
2005-06-07,55.459999084472656,0,0.9985584180639122,0.001441574416603556,7.51875579880167e-09
2005-06-08,55.31999969482422,0,0.9983342898259899,0.0016656996110359819,1.056408290647805e-08
2005-06-09,55.400001525878906,0,0.997604984519028,0.002395002154187786,1.3324985640607546e-08
2005-06-10,55.400001525878906,0,0.9970631071657511,0.002936860676516518,3.2156804744319256e-08
2005-06-13,55.7599983215332,0,0.9944010079572468,0.005598928335290295,6.370583728632643e-08
2005-06-14,56.20000076293945,0,0.9871809767410245,0.012818840719353256,1.8253877902290473e-07
2005-06-15,55.86000061035156,0,0.9591625326220242,0.040836873474283,5.939042177271087e-07
2005-06-16,55.79999923706055,0,0.8191573119937318,0.18084091841348585,1.7695921026721498e-06
2005-06-17,55.02000045776367,1,0.2467266597118621,0.7532676168285595,5.723457782086127e-06
