Date,PC1,PC2,PC3
2005-03-11,-1.0846770590059975,-0.9065312075867951,0.18585509415502086
2005-03-14,-1.2039220205257775,-0.34648737024358545,-1.441473939780135
2005-03-15,-0.8639968401491123,-1.572737441324439,0.30356955379012285
2005-03-16,0.8396749651392845,-4.66725133714566,4.926226582562289
2005-03-17,-0.01960129563888835,0.02152980287166728,2.990576706154207
2005-03-18,0.26358289217631214,-0.5798105198008783,-1.2328601495449403
2005-03-21,0.3811961469575348,-0.870548497954057,-0.6244558054678832
2005-03-22,0.47746386129919616,-0.9428571474802978,-0.5584344622033153
2005-03-23,0.6878757181440236,-1.4311791267878398,0.06251336685587058
2005-03-24,0.3135997694553888,0.09798104437305144,-0.4275610840367995
2005-03-25,0.3983428145765646,-0.5364615745877279,-0.653410478395082
2005-03-28,0.668909201503888,-1.3461882965458332,-0.12014617547169935
2005-03-29,0.7096106006318053,-2.054528663473573,3.9598443140469133
2005-03-30,0.4427017727332193,-0.5717005799714858,1.277060863841229
2005-03-31,0.802421674572193,-1.4162343582970651,-0.4529931975016817
2005-04-01,1.0675606904348656,-1.8105551493834249,-0.18817890698577588
2005-04-04,0.46727026135975813,0.71856641964096,1.1992421173274956
2005-04-05,0.4117340019836352,0.6182838554722476,-0.6160886704786521
2005-04-06,0.5127202615371097,0.09046861239274878,-1.2861685510135892
2005-04-07,0.7415739843059099,-0.4511786063357875,-1.749758976245951
2005-04-08,0.8282972575084224,-0.5245510261589956,-1.5707841919100156
2005-04-11,0.5005871497154395,0.41745514218898666,-0.09748492489533259
2005-04-12,0.5955575542523295,-0.2096775933663031,-0.0485404820146354
2005-04-13,0.8607041971661937,-0.7813069755656503,-1.0573700413138094
2005-04-14,0.3838828890167638,-0.603372890737672,-1.4194987839717998
2005-04-15,0.3831141874701999,-1.259165005155965,0.5246916453175307
2005-04-18,0.5357820721820061,-1.531924924116566,0.5556715721057984
2005-04-19,0.37602193717292554,-0.6238771617364673,-0.7997485560942302
2005-04-20,1.1513414573548912,-2.5797784346780657,0.5975882261645045
2005-04-21,0.5508702383920853,-0.18257595338296662,1.1350507997525432
2005-04-22,1.3090144982116678,-2.24534917550898,-0.10991010070349522
2005-04-25,1.0028184309652965,-0.8652949498198135,0.38988623571930414
2005-04-26,0.9712264028057565,-0.7497422477612852,-0.8207796477002218
2005-04-27,1.0247103926701058,-0.9970177345734661,-0.3910645640010395
2005-04-28,0.6639787592961708,0.10802724182626139,0.9114984484372747
2005-04-29,0.6520915430824239,-0.29641448063375786,-0.3006694928358581
2005-05-02,0.2847925374282514,0.23028010423581852,0.7739049222142679
2005-05-03,0.4489941804290145,-0.7215447997367661,-1.1804166429336889
2005-05-04,0.22432799430276207,-0.3340008056553403,0.3765656284687561
2005-05-05,0.4903179498496969,-0.8758722158608276,-1.4321775510506907
2005-05-06,0.5060788338966907,-0.785751259614581,-1.28015738532155
2005-05-09,0.5960835171486385,-0.8218556189342034,-1.7349676804326368
2005-05-10,0.6452115527922666,-0.9999567175850441,-1.2912210282176382
2005-05-11,0.5270823495858448,-0.40894655606266894,-1.8080529304536774
2005-05-12,0.393599302321598,-0.2888824256617726,-1.6382094174738817
2005-05-13,0.4217720925297156,-0.5706871282866008,-1.6396903670887821
2005-05-16,0.5132717373145873,-0.8007162895137294,-1.5640503487319597
2005-05-17,0.36423334265029295,-0.40982070809340765,-1.216703761930798
2005-05-18,0.2971070254995798,-0.2553039601948783,-1.248945025677548
2005-05-19,-0.25880243398133634,0.3665171047154718,-0.5882302368136687
2005-05-20,-0.23375251439404826,-0.4401227181117707,0.32454662214260566
2005-05-23,-0.2763744081615864,-1.0688643019160144,-0.09799874352430185
2005-05-24,-0.7733579457442532,1.3710215458957928,1.2557005941159165
2005-05-25,-0.34361721289096864,-0.42615889757819914,0.28711945891186696
2005-05-26,-0.16426500270730854,-0.4152944923806207,-0.910950733135055
2005-05-27,-0.45045631399398794,0.3803594854989392,-0.7142356637498449
2005-05-30,-0.3697425545421218,-0.030836861499817014,-0.788491342653862
2005-05-31,-0.021468589130177462,-0.8973247062105989,-0.9511352369470742
2005-06-01,-0.17575968294247446,-0.19823178505382666,-1.0878860978310534
2005-06-02,-0.16216723654577758,-0.2703521780879403,-1.0874085209288922
2005-06-03,-0.031222507247918363,-0.8966021353837523,-0.17816944800806706
2005-06-06,0.014713970455321523,-0.8981100479204578,-0.05840679180655595
2005-06-07,-0.07549939115453008,-0.4545724932443072,-0.8086398612341639
2005-06-08,-0.061300322438879395,-0.504423635879222,-0.8663272032238205
2005-06-09,-0.12937520653167844,-0.1841634839105127,-1.1086618723385686
2005-06-10,-0.0995793704601543,-0.3830069294916426,-0.764915293736346
2005-06-13,-0.2700421004681107,-0.042381785584872,-0.03027319862762881
2005-06-14,-0.4644572771103809,0.42176542365905584,-0.7759521245501529
2005-06-15,-0.19282869304429817,-0.43790982943828344,-1.069374421404682
2005-06-16,-0.1998825524715688,-0.447060466773334,-0.0029056020728218668
2005-06-17,0.28611172884624114,-1.8210143833866193,1.0974620383265572
2005-06-20,0.09140974430492688,-0.9782970363088552,1.7211232038708844
2005-06-21,-0.2312556864652711,0.18117927234397918,0.32466247353504096
2005-06-22,-0.1929246240768368,-1.1254496820577702,-1.0444536088924083
2005-06-23,-0.358353353123927,-1.0529827468170945,1.899321662256529
2005-06-24,-0.12584241044172095,-1.8619514959435843,1.7226661451993877
2005-06-27,-0.39575701315864525,-0.5393969828732255,0.3472482520349629
2005-06-28,-0.3147137271626104,-0.6916307916630429,-0.9882161986280702
2005-06-29,-0.42583629735338735,-0.6414166922165732,-0.776236063903777
2005-06-30,-0.5465557325632711,-0.2842518034244799,-0.5680810039986903
2005-07-01,-0.49504307212458004,-0.6196686173125532,-0.3690258521926798
2005-07-04,-0.5429889076614305,-0.6020162697806508,-0.35279626333612957
2005-07-05,-0.8277758638152503,0.16826755818132955,0.8146394693262543
2005-07-06,-0.8866903439750363,0.10069103276516894,0.24110863856381445
2005-07-07,-0.8396469542791605,-0.39571722899877404,0.7382899425522295
2005-07-08,-0.6969796608321909,-0.32929964101698894,-1.1210032373037484
2005-07-11,-0.8195087994676284,-0.039167944969784096,-0.14438471149462864
2005-07-12,-0.4012505412586476,-1.0091774757110812,-0.39382547247166266
2005-07-13,-0.5051317048070406,-0.5042737523515157,-0.15692723693010174
2005-07-14,-0.24996442995818938,-1.2753501153370224,0.3898069445158122
2005-07-15,-0.47129043655737796,-0.3597005781490854,0.41585817719956764
2005-07-18,-0.564077260774186,-0.3406294044274526,-1.3602764494373647
