Date,Close,KMeans_Regime,GMM_Regime,GMM_Prob_0,GMM_Prob_1,GMM_Prob_2
2005-03-11,60.02000045776367,0,0,0.9630601978213604,0.03645822202786626,0.0004815801507733186
2005-03-14,60.119998931884766,0,0,0.9953751074163512,0.0037125554249305063,0.0009123371587184179
2005-03-15,59.560001373291016,1,0,0.8762195147471743,0.12174538648404466,0.002035098768780805
2005-03-16,57.36000061035156,1,2,8.586237137051852e-22,6.046154987601901e-06,0.9999939538450129
2005-03-17,58.65999984741211,1,1,3.846772487366254e-06,0.6402336230891786,0.3597625301383347
2005-03-18,58.369998931884766,1,0,0.960313885139265,0.038861724733895715,0.0008243901268392082
2005-03-21,58.02000045776367,1,0,0.9195189976802717,0.07976634157784798,0.0007146607418804723
2005-03-22,57.70000076293945,1,0,0.8841092991690414,0.11493571150328148,0.0009549893276772036
2005-03-23,57.20000076293945,1,0,0.540478152355532,0.4561573748241616,0.0033644728203060417
2005-03-24,57.900001525878906,0,0,0.7835691974453135,0.21521480259928105,0.0012159999554053867
2005-03-25,57.900001525878906,1,0,0.8998178429128989,0.09940277334313496,0.000779383743966222
2005-03-28,57.400001525878906,1,0,0.6540318307000791,0.3434390129321514,0.0025291563677698413
2005-03-29,57.27999877929688,1,2,1.0837043892743638e-11,0.010177281972546774,0.9898227180166155
2005-03-30,57.7599983215332,1,1,0.034963656382445626,0.9544715813586135,0.010564762258941087
2005-03-31,57.119998931884766,1,0,0.6687998967762945,0.3281936868770694,0.0030064163466360172
2005-04-01,56.29999923706055,1,1,0.28049019544973786,0.7121732957869356,0.0073365087633264
2005-04-04,57.70000076293945,0,1,0.0022006162514569567,0.9844716307850461,0.013327752963497108
2005-04-05,58.41999816894531,0,1,0.461820902245583,0.5346577413887031,0.0035213563657141996
2005-04-06,58.47999954223633,1,0,0.7853771522780247,0.21138083666697363,0.003242011055002013
2005-04-07,58.04999923706055,1,0,0.7507558586256795,0.23949973692815638,0.009744404446163828
2005-04-08,57.650001525878906,1,0,0.6968528177783404,0.29528197098282766,0.007865211238832437
2005-04-11,58.29999923706055,0,1,0.26169942331483187,0.7347065145013594,0.0035940621838089705
2005-04-12,58.36000061035156,1,1,0.4516745058902173,0.545713704235039,0.0026117898747436384
2005-04-13,57.709999084472656,1,0,0.6955760549589042,0.30080537538759927,0.0036185696534964695
2005-04-14,57.220001220703125,1,0,0.9433293045417251,0.0551098997236251,0.0015607957346500199
2005-04-15,56.93999862670898,1,0,0.5041196531772524,0.49249356372965625,0.0033867830930915718
2005-04-18,56.47999954223633,1,1,0.343692827840052,0.6509345993761965,0.005372572783751763
2005-04-19,56.47999954223633,1,0,0.9256720062080916,0.073603860357456,0.0007241334344522615
2005-04-20,55.209999084472656,1,1,0.01865578961238491,0.9593547684760806,0.02198944191153434
2005-04-21,55.959999084472656,1,1,0.021128686408743658,0.9693493846415393,0.00952192894971725
2005-04-22,54.86000061035156,1,1,0.08085863623850247,0.9055876881245094,0.013553675636988149
2005-04-25,55.060001373291016,1,1,0.08337665817934799,0.910628466285982,0.005994875534669721
2005-04-26,55.02000045776367,1,0,0.5107145968855502,0.48512374969191396,0.004161653422535482
2005-04-27,54.869998931884766,1,1,0.36246808993936946,0.6332187471362088,0.004313162924422
2005-04-28,55.79999923706055,1,1,0.014872721857661989,0.9769319833740067,0.008195294768331383
2005-04-29,55.959999084472656,1,0,0.5530519727236042,0.44461900731552745,0.0023290199608682564
2005-05-02,56.59999847412109,0,1,0.11240719209140904,0.8822893441500003,0.005303463758590973
2005-05-03,56.2599983215332,1,0,0.9303969456425193,0.06837780813899455,0.0012252462184859474
2005-05-04,56.65999984741211,1,0,0.6202380863074103,0.3779548777203067,0.0018070359722830824
2005-05-05,56.220001220703125,1,0,0.9283715658144353,0.06945233617739127,0.0021760980081736198
2005-05-06,55.91999816894531,1,0,0.9203928429618288,0.07793487435643714,0.001672282681733792
2005-05-09,55.52000045776367,1,0,0.8869817681379508,0.10711119818804492,0.0059070336740043375
2005-05-10,55.2400016784668,1,0,0.8812415569509945,0.1161263652687291,0.0026320777802762672
2005-05-11,55.34000015258789,1,0,0.8779169471519435,0.1156722526315641,0.006410800216492455
2005-05-12,55.47999954223633,1,0,0.9208445807917166,0.07617034890137192,0.0029850703069119427
2005-05-13,55.34000015258789,1,0,0.9318561517102498,0.06525829360479196,0.002885554684957898
2005-05-16,55.040000915527344,1,0,0.9192092763420233,0.07774952452456615,0.0030411991334105353
2005-05-17,55.09999847412109,1,0,0.935656218428698,0.06324035481337051,0.0011034267579317315
2005-05-18,55.2400016784668,1,0,0.941287034276413,0.05765692289264257,0.0010560428309446086
2005-05-19,55.86000061035156,0,0,0.9609318733717329,0.0387390956400222,0.00032903098824481575
2005-05-20,56.04999923706055,0,0,0.8964430753343849,0.10301757233888624,0.0005393523267287382
2005-05-23,55.619998931884766,1,0,0.961218562194183,0.038434772601046836,0.00034666520477034864
2005-05-24,57.18000030517578,0,1,0.046121143995768936,0.9433827965552561,0.010496059448974816
2005-05-25,56.900001525878906,0,0,0.9246059342200876,0.07498331932644413,0.0004107464534683905
2005-05-26,56.41999816894531,0,0,0.9848036804461158,0.014958433988725733,0.00023788556515858144
2005-05-27,56.79999923706055,0,0,0.9802583378589096,0.0195129276839526,0.00022873445713780528
2005-05-30,56.79999923706055,0,0,0.9865183280088661,0.013302651445176637,0.00017902054595716997
2005-05-31,56.20000076293945,1,0,0.9805921281345515,0.019030571813611636,0.00037730005183699846
2005-06-01,56.18000030517578,0,0,0.9849879697466939,0.01471549632523768,0.00029653392806846304
2005-06-02,56.15999984741211,0,0,0.9852467256666722,0.014456994744221088,0.00029627958910688967
