Date,Close,KMeans_Regime,GMM_Regime,GMM_Prob_0,GMM_Prob_1,GMM_Prob_2
2005-03-11,0.191995769739151,0,0,0.9606881794114649,0.0029312394828854365,0.036380581105649644
2005-03-14,0.1974131017923355,0,0,0.8395074109060623,0.014709475218929383,0.14578311387500853
2005-03-15,0.193445399403572,0,0,0.9688750977603127,0.012617890717245993,0.01850701152244155
2005-03-16,0.1901643276214599,0,0,0.9662593670510368,0.004846332794692423,0.028894300154270917
2005-03-17,0.1882560104131698,0,0,0.9599133868180494,0.007872839855554044,0.03221377332639636
2005-03-18,0.1844410300254821,2,0,0.9320460350985676,0.005131804837019266,0.062822160064413
2005-03-21,0.1907742172479629,0,0,0.6406976458651173,0.012468291844193609,0.3468340622906893
2005-03-22,0.1873402446508407,2,0,0.8810812602408662,0.005854892920630579,0.1130638468385033
2005-03-23,0.1913849860429763,0,0,0.5281916127565721,0.012172020113645616,0.45963636712978245
2005-03-24,0.1917668581008911,0,2,0.4342360308399765,0.022236677832013732,0.5435272913280099
2005-03-25,0.1917668581008911,0,2,0.4617912723387353,0.020933230117635676,0.517275497543629
2005-03-28,0.1896295249462127,0,0,0.9351329946214825,0.004123663726175781,0.0607433416523417
2005-03-29,0.1854328215122223,2,0,0.8076450581928549,0.010275260166991432,0.1820796816401534
2005-03-30,0.1854328215122223,2,2,0.30966360689999906,0.025894263761103604,0.6644421293388975
2005-03-31,0.1813120990991592,2,0,0.8215326840914182,0.01138880790470668,0.16707850800387486
2005-04-01,0.179556593298912,2,0,0.852609544105815,0.0067197984109656755,0.1406706574832194
2005-04-04,0.1784889101982116,2,0,0.8810243687604163,0.00755467030717917,0.11142096093240429
2005-04-05,0.1753599047660827,2,0,0.7926784030479482,0.015040649437411848,0.1922809475146396
2005-04-06,0.1780310720205307,2,0,0.6794915907576738,0.00799019079654454,0.3125182184457817
2005-04-07,0.1813120990991592,0,0,0.8130613781422473,0.005533410881620601,0.18140521097613188
2005-04-08,0.1789468079805374,2,0,0.6953864103399068,0.011085007119862555,0.2935285825402308
2005-04-11,0.1754359006881714,2,0,0.9009436877565618,0.013661323223802244,0.0853949890196358
2005-04-12,0.1775732040405273,2,0,0.7790478566151823,0.006065306641141402,0.21488683674367612
2005-04-13,0.1701705157756805,2,2,0.3328546838356531,0.05658983922924588,0.6105554769351013
2005-04-14,0.1687969267368316,2,0,0.8522385323664958,0.010289676445437683,0.13747179118806652
2005-04-15,0.1629217267036438,2,2,0.14064028845086823,0.04627391848715996,0.8130857930619715
2005-04-18,0.1617771238088607,2,0,0.6071952210902782,0.012041336113182569,0.38076344279653934
2005-04-19,0.1674233973026275,2,2,0.2637167800282384,0.022030124472467612,0.7142530954992943
2005-04-20,0.1623109430074691,2,2,0.2543798489984019,0.03409222540255618,0.7115279255990417
2005-04-21,0.1713151782751083,2,2,0.0028000659491357804,0.021386643995753383,0.9758132900551111
2005-04-22,0.1697126924991607,2,0,0.8227443970970152,0.009939054437309813,0.1673165484656748
2005-04-25,0.1723838001489639,2,0,0.7077333803038945,0.011531411983176618,0.2807352077129286
2005-04-26,0.1716210693120956,2,0,0.8360454788269905,0.006696172780763867,0.15725834839224553
2005-04-27,0.1650581210851669,2,2,0.062404109103126805,0.06387524154323343,0.87372064935364
2005-04-28,0.1655919700860977,2,0,0.5949944698808198,0.010405915304480066,0.39459961481470024
2005-04-29,0.1673473566770553,2,2,0.3141168397287436,0.015075722782636157,0.6708074374886202
2005-05-02,0.1667365729808807,2,0,0.8085265572448382,0.0071122101899395536,0.18436123256522213
2005-05-03,0.1658208668231964,2,0,0.6108711881144063,0.010166972768357135,0.3789618391172364
2005-05-04,0.171086236834526,0,2,0.11344298988464019,0.020510126103160928,0.8660468840121986
2005-05-05,0.1744441539049148,2,2,0.040323709653611636,0.04735539496218278,0.9123208953842056
2005-05-06,0.176809474825859,0,0,0.8423386707032128,0.005380805246089371,0.15228052405069772
2005-05-09,0.1800914257764816,1,2,0.002674320106524722,0.19863951108758035,0.7986861688058948
2005-05-10,0.1730705946683883,2,2,0.014346133315196253,0.16558118464719565,0.8200726820376081
2005-05-11,0.1701705157756805,2,2,0.4814837747523795,0.01840752024470346,0.5001087050029169
2005-05-12,0.1739102751016616,1,2,0.0005829787733636594,0.2922207950309212,0.7071962261957154
2005-05-13,0.1932923942804336,1,1,4.0916756349218525e-77,1.0,1.16632773151457e-30
2005-05-16,0.1939792186021804,0,0,0.838381288142954,0.006114755720753151,0.15550395613629267
